created_at,id_str,full_text,quote_count,reply_count,retweet_count,favorite_count,lang,user_id_str,conversation_id_str,username,tweet_url
Sun Dec 31 08:24:38 +0000 2023,1.74E+18,"#Npure lagi diskon https://t.co/GLFxGVCUcn Buruan,diskon gede akhir tahun!!!! #diskon #npure #Toner #Shopee https://t.co/poINfPJ7y7",0,0,0,1,in,1.45E+18,1.74E+18,ibukos20pintuw,https://twitter.com/ibukos20pintuw/status/1741374791754588281
Sun Dec 31 07:06:36 +0000 2023,1.74E+18,spill #promo atau #diskon mau beli IP 11 #iphone11 #diskoniphone11  atau #saranbeliiphone,0,0,0,0,in,1.52E+18,1.74E+18,Angel090501,https://twitter.com/Angel090501/status/1741355156397314374
Sun Dec 31 03:45:00 +0000 2023,1.74E+18,/info udah tau belum kalo beli tiket liburan di https://t.co/J8BnyPQ0kh paka GoPay bisa dapet DISKON s.d 100RIBU!ðŸ˜±  #promo #promoliburan #diskon https://t.co/iqIgfHewS3,0,4,6,7,in,1.62E+18,1.74E+18,tokekgofess,https://twitter.com/tokekgofess/status/1741304419663192089
Sun Dec 31 01:43:33 +0000 2023,1.74E+18,Jasa Marga Berlakukan Diskon Tarif Tol 3 Januari 2024 https://t.co/foDrXePDuF #jalantol #Mudik #TahunBaru2024 #tahunbaru #diskon #jasamarga,0,0,0,0,in,1.46E+18,1.74E+18,KakakLap,https://twitter.com/KakakLap/status/1741273858240565681
Sun Dec 31 01:01:48 +0000 2023,1.74E+18,Rekomendasi maxi dress!  Cek harga promo : https://t.co/vDHXhRCaI6  #racunshopee #fashioncewe #ootdcewe #outfitcewe #stylecewe #outfitrekomendasi #outfitinfo #dailyuse #ootdindonesia #ootdceweindo #flashsale #diskon https://t.co/ClYDd32ICx,0,0,0,1,in,1.69E+18,1.74E+18,outfitinfo,https://twitter.com/outfitinfo/status/1741263352213680159
Sun Dec 31 01:00:15 +0000 2023,1.74E+18,Outfit Referensi!  Jacket : https://t.co/poapMy86Mc Celana : https://t.co/1P1lNQtmg6 Topi : https://t.co/X2NaPVBjrS Sepatu : https://t.co/DvTRl6xjQ7  #racunshopee #fashioncowo #ootdcowo #outfitcowo #stylecowo #outfitrekomendasi #outfitinfo #dailyuse #flashsale #diskon https://t.co/kBBR4gXfwY,0,0,1,1,in,1.69E+18,1.74E+18,outfitinfo,https://twitter.com/outfitinfo/status/1741262959031234782
Sat Dec 30 16:33:29 +0000 2023,1.74E+18,Lazada Lazflash Extra 31 Desember  https://t.co/x7KO05YX4Q  #flashsale #promo #diskon #lazada https://t.co/8gNVmC30pY,0,1,0,1,in,1347365923,1.74E+18,promzcuan,https://twitter.com/promzcuan/status/1741135428537741602
Sat Dec 30 13:25:00 +0000 2023,1.74E+18,TAVI Plumpy &amp  Anti Aging Kit  Paket ini berisi: - TAVI Plant-Based Squalane + Ceramide Moisture Boost Serum 30 ml - TAVI 1% Encapsulated Retinol + Peptide Slow Aging Signs Serum 30 ml  FREE TAVI mini serum  #tavi #wardah #sale #promo #diskon #promosi #skincare #serum #antiaging https://t.co/oLdiA045DQ,0,0,0,0,et,7.13E+17,1.74E+18,Kahf_Wardah,https://twitter.com/Kahf_Wardah/status/1741087993862164961
Sat Dec 30 12:45:55 +0000 2023,1.74E+18,"Diskon Besar-besaran iPhone 13 Pro Max di iBox, Padahal Banyak Fitur Canggih!   ##Diskon #iBox #iPhone13ProMax https://t.co/xEp5LmktQ6",0,0,0,0,in,1.44E+18,1.74E+18,sanepo_com,https://twitter.com/sanepo_com/status/1741078160890876200
Sat Dec 30 12:03:41 +0000 2023,1.74E+18,"Mari mabok Stella! .... Eh, maksudnya Mari harumkan WC-mu dengan Stella Pocket Bathroom Purple Dream 10 gr x3 - Pengharum Kamar Mandi dengan harga Rp16.393.  https://t.co/VW3WnU90rk  #racunshopee #racunbelanja #stella #wc #pengharumkamarmandi #ShopeeID #diskon https://t.co/yOg5qCZtcy",0,0,0,0,in,1.67E+18,1.74E+18,blueheartxdrgn,https://twitter.com/blueheartxdrgn/status/1741067532520522214
