created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Mon Nov 20 11:15:22 +0000 2023;1726559856612855975;"diskon promo lazada 11.11 sale yg mau nonton bioskop sama pacar, bestie, keluarga lebih murah nih  Voucher Digital CGV  200.000  https://t.co/2oiAF0xNut";0;0;0;0;in;1195328199208517632;1726559856612855975;flyinggcat;https://twitter.com/flyinggcat/status/1726559856612855975
Mon Nov 20 11:15:11 +0000 2023;1726559812891349243;"diskon pulsa indosat promo lazada 11.11 sale  https://t.co/Rn00I1LMj5";0;0;0;0;in;1195328199208517632;1726559812891349243;flyinggcat;https://twitter.com/flyinggcat/status/1726559812891349243
Mon Nov 20 11:15:01 +0000 2023;1726559770784756216;"diskon pulsa tri promo lazada 11.11 sale  https://t.co/QiRiKx9eqt";0;0;0;0;in;1195328199208517632;1726559770784756216;flyinggcat;https://twitter.com/flyinggcat/status/1726559770784756216
Mon Nov 20 11:14:39 +0000 2023;1726559676496793907;"diskon pulsa telkomsel promo lazada 11.11 sale  https://t.co/2bT1MkkvOV";0;0;0;0;in;1195328199208517632;1726559676496793907;flyinggcat;https://twitter.com/flyinggcat/status/1726559676496793907
Mon Nov 20 11:14:37 +0000 2023;1726559669597143077;"kaya anjiirrr gua gak engeh dapet diskon ongkir sampe 100k kaya anjiiirrrrr 😭 https://t.co/C4nMp44hlV";0;0;0;0;in;163765848;1726559669597143077;Infat_15;https://twitter.com/Infat_15/status/1726559669597143077
Mon Nov 20 11:14:29 +0000 2023;1726559634570596840;"diskon token listrik pln promo lazada 11.11 sale  https://t.co/4fZRcowIHv";0;0;0;0;in;1195328199208517632;1726559634570596840;flyinggcat;https://twitter.com/flyinggcat/status/1726559634570596840
Mon Nov 20 11:14:28 +0000 2023;1726559631932289341;"mau bgt lagi cuma boleh diskon ga sih🥲😭😭😭";0;0;0;0;in;1359150818163793920;1726559631932289341;butterdoiee;https://twitter.com/butterdoiee/status/1726559631932289341
Mon Nov 20 11:14:17 +0000 2023;1726559585924993464;"one of Hyaluronic serum yg gua suka bgtttt. Kulit auto lembab &amp  plumpy bgt stlh pake serum ini #Racuninskincare   dan ini murah bahkan sering diskon di oren https://t.co/Bjyu8aOyoH";0;1;3;7;in;1261696537836412929;1726559585924993464;ngonolohyu;https://twitter.com/ngonolohyu/status/1726559585924993464
Mon Nov 20 11:14:01 +0000 2023;1726559515691393481;"/jual haloo sender open po gelang gemec nihh only 12k✨️ kalo beli 3 diskon 10k/each, bisa custom husbu dan waifu kalian🤩🙌🏻 yukk diorderr‼️";0;0;0;0;in;1538794715751288832;1726559515691393481;genshinBTS;https://twitter.com/genshinBTS/status/1726559515691393481
Mon Nov 20 11:13:32 +0000 2023;1726559393809121547;"@Masyaallah77 @discountfess Halo, kak! Kakak bisa pakai kode voucher KONSULGIZI (diskon 20%) untuk pengguna baru yaa. Sehat selalu, kak! 😊🙌🏼";0;0;0;0;in;4618731253;1726188568358621427;HalodocID;https://twitter.com/HalodocID/status/1726559393809121547
